feature,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19
f1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
f4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
f5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
f6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
f7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
f8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
f9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
f11,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
f12,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1
f13,1,1,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1
f14,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
f15,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1,0
f16,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
f17,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
f18,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
f19,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
f20,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,0
